gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000260063	4.6396	4.5499	4.3343	4.4572	4.6597	4.1179	4.4156	4.7277
ENSG00000117713	11.217	10.5259	11.5392	11.1289	11.2752	11.1474	11.5119	11.6394
ENSG00000060642	7.121	7.9036	7.5259	7.8113	7.3759	7.7092	7.6385	7.4401
ENSG00000204160	9.63	9.9496	9.9904	9.8875	8.2325	7.6213	8.6345	8.71
ENSG00000175793	3.9566	3.9948	4.1046	3.5816	3.0187	3.0187	3.5005	3.0187
ENSG00000142751	9.5003	9.5549	9.6099	9.5905	8.9334	9.1057	8.7275	8.5627
ENSG00000198746	8.4782	8.766	8.3184	8.5448	6.9393	7.1292	7.6118	7.5154
ENSG00000090273	12.25	12.383	11.9051	12.1342	10.2336	9.0486	10.5679	11.407
ENSG00000131910	3.0187	3.0187	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000175707	3.0187	4.3099	4.1046	4.248	3.6083	3.6634	3.9695	3.0187
ENSG00000172746	4.4928	4.7477	3.7954	3.5816	3.6083	3.0187	3.0187	3.0187
