gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000103415	1887.4004	2690.6849	1913.1034	1849.5976	776.8159	840.1139	1308.3343	1736.1491
ENSG00000089486	1188.4946	1618.573	815.7761	1077.2657	682.1158	146.4645	334.8387	632.4875
ENSG00000278434	2.1286	3.083	9.6257	3.7492	13.0384	5.7598	7.2989	8.1237
ENSG00000205832	0.7095	0	0	0	6.1761	0	1.8247	1.1605
ENSG00000261612	7.0955	7.7075	7.2193	1.2497	2.0587	0	6.3866	1.1605
ENSG00000153443	456.9496	552.6271	197.3264	261.1932	19.2145	10.6968	25.5463	39.4579
ENSG00000102858	1551.7837	1129.1473	1097.3272	1345.9572	231.2606	176.9094	455.2711	552.4111
ENSG00000261442	2.1286	1.5415	0	3.7492	0.6862	1.6457	4.5618	2.3211
ENSG00000278700	0	0	0	0	0	0.8228	0.9124	1.1605
ENSG00000276641	1.4191	0	0	0	0	0	0	0
ENSG00000168101	344.1313	470.1569	317.6474	321.1801	24.0182	20.5709	60.2162	42.9395
ENSG00000168096	223.5079	310.6119	202.1392	227.4505	78.2306	79.8149	104.9222	56.8658
ENSG00000266994	0	0	0	0	0.6862	0.8228	0	1.1605
ENSG00000166246	6.3859	4.6245	9.6257	4.9989	2.0587	0	4.5618	0
ENSG00000103199	236.9894	200.3948	187.7007	204.9554	59.7023	75.7008	116.783	56.8658
ENSG00000276096	0	2.3122	7.2193	0	2.0587	5.7598	6.3866	1.1605
ENSG00000267795	0.7095	0	0	3.7492	0	1.6457	0	1.1605
ENSG00000067836	397.3474	440.0977	216.5777	248.6959	40.4878	83.1063	140.5045	64.9895
ENSG00000140632	3283.7928	2464.8554	3782.8912	3305.5309	2832.0843	3082.3377	3392.1804	3243.6743
ENSG00000275056	4.9668	3.083	9.6257	9.9978	2.0587	8.2283	16.4226	9.2842
ENSG00000118900	2103.8128	1660.9642	2817.917	2726.9068	2566.5121	2187.0939	2578.3491	2904.8003
ENSG00000118898	37.6061	6.166	9.6257	82.4821	30.8805	34.559	53.8297	11.6053
ENSG00000103184	0.7095	0	0	1.2497	0	0	0	0
ENSG00000267072	0.7095	0	0	0	0.6862	0.8228	5.4742	0
ENSG00000103174	544.2241	1234.74	450.0004	746.0877	76.8581	76.5236	150.5406	120.6949
ENSG00000033011	351.9363	611.9747	690.6423	511.1388	163.3235	136.5905	146.8911	261.1187
ENSG00000153446	0.7095	4.6245	2.4064	1.2497	0	0.8228	0.9124	0
ENSG00000260882	0	0	0	0	0.6862	0	0	0
ENSG00000118894	217.8315	240.4737	389.8399	296.1856	40.4878	32.0905	55.6544	84.7185
ENSG00000273963	0	0	0	0	0	0.8228	0	0
ENSG00000260431	0.7095	0	0	0	0	0	0	0
ENSG00000242278	0	0	2.4064	1.2497	0	0.8228	0	2.3211
ENSG00000267182	0.7095	0	0	0	0	0	0	0
ENSG00000078328	0	0	0	0	0.6862	0	0	2.3211
ENSG00000278975	0	0	0	0	0.6862	0	0	0
ENSG00000260379	0	0.7707	0	0	0	0	0	0
ENSG00000067365	479.6551	423.912	476.471	638.6111	215.4772	171.9724	376.8076	319.1451
ENSG00000183044	87.9841	49.3279	31.2835	66.2356	111.856	408.1259	105.8346	111.4106
ENSG00000243954	0	0	0	0	0	0.8228	0	0
ENSG00000184857	120.6233	179.5845	194.92	167.4636	67.9371	77.3464	66.6028	84.7185
ENSG00000140650	495.9748	608.8917	731.5515	567.3766	1027.2911	684.5982	798.3211	1224.3565
ENSG00000260350	1.4191	2.3122	0	0	0	0.8228	2.7371	0
ENSG00000260276	24.1247	25.4347	50.5348	33.7427	11.666	22.2165	31.9328	11.6053
ENSG00000153048	825.915	715.2551	760.4285	1118.5067	208.6149	309.3857	301.9935	249.5134
ENSG00000261481	0	0	0	1.2497	0	0	0	0
ENSG00000187555	4482.2211	3479.9319	4230.4852	3782.9271	7086.7299	6404.1203	5032.6163	7416.9311
ENSG00000260979	0.7095	0	0	0	0	0.8228	0	0
ENSG00000261392	0	0.7707	0	0	0	0	0	0
ENSG00000182831	1509.2107	1116.8154	1378.8783	1014.7792	2330.4478	2533.5072	1646.8224	2133.0495
